Swimlane,Type,Title,Start date,End date,Duration (in days),% Complete,Assignee name,Assignee email,Note
,Task,Review of year 1 report review / submission,01/04/2023,01/13/2023,8,0,,,
,Task,Setup test cluster for testing popcorn linux,01/12/2023,01/15/2023,2,0,,,
,Task,Setup popcorn linux on the test cluster,01/15/2023,01/17/2023,2,0,,,
,Task,Start running existing popcorn linux benchmarks,01/17/2023,02/02/2023,13,0,,,
,Task,Setup RustyHermit and HermitCore independently with test application,01/18/2023,01/22/2023,3,0,,,
,Task,Setup Cheri on a QEMU emulator and run a sample C program,01/25/2023,02/01/2023,6,0,,,
,Task,Deep dive understanding to HEXO fork of popcorn linux source code vice,02/02/2023,02/07/2023,4,0,,,
,Task,Setup HEXO offload tasks to a uni-kernel on an external machine using hermit- core and test of 2 more external devices to benchmark the scheduler used by HEXO linux,02/08/2023,02/15/2023,6,0,,,
,Task,Start working more on porting HermitTux to RustyHermit and look into development of Unikraft for support of Cheri and switch into the Unikraft for further development if there is full support for Cheri.,02/16/2023,05/23/2023,69,0,,,
,Task,Start drafting a conference paper or journal based on improve- ments to the HEXO papers scheduler and support to either RustyHermit or Unikraft.,11/18/2022,02/22/2023,69,0,,,
,Task,Investigating having Popcorn modified LLVM C/C++ features with the GHC Haskell compiler.,02/23/2023,03/23/2023,21,0,,,
,Task,Get access to the ARM based Cheri Morello,04/01/2023,04/02/2023,0,0,,,
,Task,Catch up on the pending tasks not completed listed above.,05/01/2023,06/30/2023,45,0,,,
,Task,Start writing completed research experiments to the thesis,05/31/2023,07/30/2023,43,0,,,
,Task,Summer break,08/03/2023,08/31/2023,21,0,,,
,Task,Start modifying Popcorn Linux for building parts of a program to a TAG based architecture.,09/01/2023,11/02/2023,45,0,,,
,Task,Start drafting proposals that could be used to potentially take the above features of popcorn linux and make a clone of base features which can be used in the GHC Haskell compiler.,09/02/2023,10/11/2023,28,0,,,
,Task,Start building a test framework to test Cheri with popcorn linux.,10/12/2023,11/16/2023,26,0,,,
,Task,Reiterate through the literature review and add more background context based on the implementation and experiments completed.,11/01/2023,11/30/2023,22,0,,,
,Task,Start working on proposal drafted for adding popcorn linux features to the Haskell GHC compiler.,11/10/2023,02/02/2024,61,0,,,
,Task,Catch up on pending tasks.,12/01/2023,12/20/2023,14,0,,,
,Task,Create benchmark suite for the experiments conducted throughout the year.,12/01/2023,12/20/2023,14,0,,,
,Task,Christmas and new year break.,12/20/2023,01/02/2024,10,0,,,
,Task,Starting writing a conference paper which combines,01/03/2024,02/27/2024,40,0,,,
,Task,PhD writing period begin,12/20/2023,09/02/2024,184,0,,,
,Task,,09/03/2024,05/16/2025,184,0,,,
